"tau_k","epsilon","seed","out_S1","alpha_S1","out_S2","alpha_S2","out_S3","alpha_S3","out_S4","alpha_S4","out_S5","alpha_S5","out_S6","alpha_S6","out_S7","alpha_S7","out_S8","alpha_S8","out_S9","alpha_S9","fwd_vs_myo_P","fwd_vs_myo_PG","fwd_vs_myo_PS","signal_myo","signal_fwd","seed_myo","seed_fwd","optimal_vs_naive"
0.1,0.05,1,80.8762001017361,NA,102.944486107623,0.5,100.579795196235,0.5,103.941325383841,0.5,110.313359997985,0.5,103.284978518592,0.5,103.225887243673,0.5,109.906249558042,0.55,103.481610459421,0.5,-0.715438140167549,-0.407110439942656,0.19663194082861,6.37203461414421,6.6803623143691,-0.656346865248807,0.255723215747352,9.32645436180697
0.1,0.05,2,86.2327020234782,NA,109.102028565489,0.5,107.247752183403,0.5,109.31976904258,0.5,117.738683613433,0.5,110.111095354377,0.5,110.140117740226,0.5,117.497229837769,0.55,110.116287831793,0.5,0.82034869764594,-0.241453775663928,0.00519247741578965,8.41891457085325,7.35711209754338,0.791326311797121,-0.0238299084330293,10.2494776543666
0.1,0.05,3,77.2388420402395,NA,95.5016475073475,0.5,89.9771984803972,0.5,96.4391551197968,0.5,99.6378585078295,0.5,95.5025254078651,0.5,96.4701324272756,0.45,99.2427858049804,0.55,95.2693580577681,0.5,0.0309773074787358,-0.395072702849149,-0.233167350097006,3.1987033880327,2.77265337770481,-0.936629711931758,-1.2007743695075,9.26558732458314
0.1,0.05,4,89.2209948742652,NA,113.563590208087,0.5,114.171837755431,0.5,112.965811823327,0.5,127.649136894215,0.5,114.125526850539,0.5,113.101644940785,0.5,126.583839481324,0.6,113.563639421063,0.5,0.135833117458759,-1.06529741289172,-0.561887429475959,14.6833250708888,13.4821945405383,1.15971502721244,0.461994480277724,12.412001725893
0.1,0.05,5,84.402243412702,NA,104.255502580119,0.5,102.472791923406,0.5,105.854955342027,0.5,111.518454338027,0.5,106.248741700641,0.5,105.456044901274,0.5,111.260484498307,0.55,105.449180086018,0.5,-0.398910440753212,-0.257969839719664,-0.799561614623286,5.66349899600021,5.80443959703376,0.393786358614506,-0.00686481525556815,8.78769257490131
0.1,0.05,6,94.2149357834896,NA,119.036991118294,0.5,119.718709017242,0.5,121.682069686479,0.5,129.509713018672,0.5,120.154449739185,0.5,120.679505182034,0.5,128.778734342827,0.6,120.432000868861,0.5,-1.00256450444471,-0.730978675844597,0.277551129676056,7.82764333219336,8.09922916079347,-1.52761994729326,-0.247504313172499,9.06002532558487
0.1,0.05,7,83.1432460778453,NA,108.912600906294,0.5,108.325509879445,0.5,111.812659555466,0.5,127.493250964569,0.5,111.024871142831,0.5,111.568853577292,0.5,125.742466829088,0.7,112.311097902655,0.5,-0.243805978173995,-1.75078413548097,1.28622675982375,15.680591409103,14.173613251796,-0.787788412634427,0.742244325363316,17.4169569496424
0.1,0.05,8,78.9870813260794,NA,101.423096593152,0.5,100.19307770761,0.5,101.645364011443,0.5,109.993683012722,0.5,100.61779180512,0.5,101.391446696382,0.5,109.878913698551,0.55,101.097177800993,0.5,-0.253917315061244,-0.114769314170715,0.479385995872804,8.34831900127841,8.48746700216894,-1.02757220632375,-0.294268895389706,9.68583599094165
0.1,0.05,9,79.9172349458268,NA,104.59464932913,0.5,101.747522273535,0.5,107.690667498025,0.5,119.295474912124,0.5,105.957245168814,0.5,107.540178573499,0.5,118.366017682922,0.6,108.236145436058,0.5,-0.150488924525717,-0.929457229202015,2.27890026724378,11.6048074140991,10.8258391094228,-1.73342232921132,0.69596686255818,16.6184954093876
0.1,0.05,10,72.2159777452903,NA,93.071901686548,0.5,90.1810915141627,0.5,93.465394927294,0.5,96.5896286596403,0.5,93.3022856531301,0.5,93.1404940038805,0.5,96.6145620635016,0.5,93.6064683267701,0.5,-0.324900923413452,0.0249334038612687,0.304182673640028,3.12423373234631,3.47406805962103,-0.163109274163901,0.465974322889579,6.43347054933884
0.1,0.05,11,70.2987911402309,NA,90.0143303376112,0.5,85.1979622294876,0.5,89.6887727628844,0.5,92.7181789335926,0.5,89.3268168905104,0.5,89.558608590408,0.5,93.0414177306326,0.5,88.8379879895766,0.5,-0.130164172476356,0.32323879703992,-0.488828900933811,3.02940617070826,3.48280914022453,-0.361955872373983,-0.720620600831438,7.84345550114493
0.1,0.05,12,77.0726133508961,NA,97.6990954018201,0.5,94.8338171737927,0.5,98.861400910721,0.5,104.14439746808,0.5,98.4776198976154,0.5,99.075766681903,0.5,103.903086365753,0.55,98.8424627449294,0.5,0.214365771182074,-0.241311102326677,0.364842847313952,5.2829965573586,4.82731968384985,-0.383781013105519,-0.233303936973641,9.0692691919602
0.1,0.05,13,80.5024922217724,NA,101.868377157041,0.5,99.1135007694867,0.5,102.923520079241,0.5,107.706235915607,0.5,102.368421860081,0.5,103.268196615366,0.5,107.779690155323,0.5,102.780880768425,0.5,0.344676536124481,0.0734542397165967,0.412458908343567,4.78271583636541,4.51149353995753,-0.55509821916003,-0.487315846940945,8.66618938583676
0.1,0.05,14,82.4390598987508,NA,106.636483803232,0.5,102.715487590288,0.5,106.423074977131,0.5,113.493065956303,0.5,106.777320963642,0.5,106.572294145653,0.5,113.361151559043,0.55,106.502009785457,0.5,0.14921916852208,-0.131914397259806,-0.275311178185547,7.06999097917152,6.78885741338964,0.354245986511287,-0.0702843601963394,10.6456639687547
0.1,0.05,15,93.7423487076798,NA,113.033122599378,0.5,110.249027202997,0.5,113.694091783805,0.5,120.532626002091,0.5,113.694054717028,0.5,113.180329722785,0.5,120.577161852162,0.55,113.513708344106,0.5,-0.513762061019705,0.0445358500711421,-0.180346372921733,6.83853421828621,7.39683212937706,-3.70667771107946e-05,0.333378621320861,10.328134649165
0.1,0.05,16,85.7211560027588,NA,107.237325876592,0.5,102.955197955252,0.5,107.673290498362,0.5,114.520592331295,0.5,107.201096005461,0.5,107.034772485699,0.45,114.212380162483,0.55,107.71972814365,0.5,-0.638518012663013,-0.308212168811863,0.518632138188735,6.84730183293226,7.17760767678341,-0.47219449290148,0.684955657950269,11.2571822072311
0.1,0.05,17,79.583660613657,NA,103.609530635166,0.5,99.1792978989213,0.5,104.149936974621,0.5,110.369190167874,0.5,104.083244444324,0.5,103.988189834759,0.5,110.451083186118,0.5,103.708855937529,0.5,-0.161747139861575,0.0818930182442728,-0.374388506794844,6.21925319325305,6.4628933513589,-0.0666925302968338,-0.279333897230103,11.2717852871968
0.1,0.05,18,78.8403184356226,NA,99.1817944914993,0.5,97.7543879858915,0.5,100.825974881195,0.5,109.07704519895,0.5,100.61329209596,0.5,100.553405991716,0.5,108.636058928564,0.55,102.136735514575,0.5,-0.272568889478535,-0.440986270386048,1.52344341861509,8.2510703177548,8.08265293684728,-0.21268278523516,1.58332952285846,10.8816709426722
0.1,0.05,19,89.6943062734284,NA,109.12869645273,0.5,105.942820063092,0.5,110.195797268952,0.5,112.720998161597,0.5,109.870958407018,0.5,110.876233885379,0.5,112.606764896512,0.55,110.395425405493,0.5,0.680436616426945,-0.114233265085574,0.52446699847539,2.52520089264516,1.73053101113264,-0.324838861934595,-0.48080847988615,6.66394483341962
0.1,0.05,20,77.3480020129813,NA,99.3082920709933,0.5,97.241743693501,0.5,100.857644641224,0.5,110.465548542535,0.5,100.798082389641,0.5,100.628880182118,0.5,110.186757544049,0.55,99.3598399425721,0.5,-0.22876445910596,-0.27879099848596,-1.43824244706875,9.60790390131109,9.55787736193109,-0.0595622515829177,-1.2690402395457,12.9450138505479
0.1,0.05,21,89.1380992545682,NA,110.461173536994,0.5,108.297493321367,0.5,113.164522868335,0.5,120.847452010083,0.5,112.355640730488,0.5,111.675226627499,0.5,120.434451267595,0.55,112.804712409792,0.5,-1.48929624083615,-0.413000742487299,0.449071679304552,7.68292914174782,8.75922464009668,-0.808882137847021,1.12948578229368,12.1369579462278
0.1,0.05,22,79.3897746574638,NA,101.377821506122,0.5,103.526772323016,0.5,103.917925760758,0.5,118.528410055374,0.5,103.346853886378,0.5,104.250450946684,0.5,118.103948883743,0.6,102.711351160381,0.5,0.332525185925988,-0.424461171630242,-0.635502725996574,14.6104842946152,13.853497937059,-0.571071874380692,-1.53909978630325,14.5771765607275
