"cell","b8","a1","PG","sig","vs_unif","out8"
"CORNER: no signal, poor, eps~0",0.501201171244629,0.165337493356674,-0.0954727442605687,-0.297106375115656,-0.0959323172908005,157.466720174257
"signal on, poor, eps~0",0.49985939894276,0.166828654938745,0.00288332897313618,16.8833727262463,17.0845467840711,174.647199275619
"no signal, poor, eps=0.3",0.516868481606591,0.149809736578292,0.189045464079828,-0.0163293516476344,0.130251765470383,165.563713864522
"no signal, RICH, eps~0",0.51342913564558,0.138547105087175,0.0032794021903868,-1.05418357264381,14.9800826770633,349.601772779543
