"tau_k","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S8_mean","gini_g1_S8_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.1,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,113.234304696127,1.53862250597093,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.62764960087,0.91070033936553,0.5,0,112.959548804299,1.4252023841792,0.5,0,104.454155392674,0.946411069401584,0.5,0,0.393644304285481,0.0118722256913259,0.395335712736258,0.0132088568338639,-0.099074466932581,0.109983023968711,-0.274755891828127,0.267067673233948,0.0992086237338336,0.119438686674401,8.5075806283247,0.957812690948663,8.33189920342916,0.767825933754448,-0.371777298862305,0.111858582052655,-0.17349420819589,0.137334817765436,11.7315806492557,0.758004505128487
0.1,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,116.005945008998,1.52770630247264,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.366317377977,0.911681392056777,0.5,0,115.719662223821,1.41548053802399,0.5,0,107.182723414949,0.946970040515057,0.5,0,0.393644304285481,0.0118722256913259,0.387810759907452,0.0133006443979798,-0.101480321746621,0.11100308970935,-0.286282785177747,0.269403154033753,0.0985837404426076,0.120888077789176,8.53814730927468,0.942835664305149,8.35334484584356,0.755047497423626,-0.383658025216979,0.111862643397228,-0.183593963027751,0.13664472784542,11.9379557295444,0.743130807492188
0.1,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,119.4352053534,1.51470210794131,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.759825581811,0.91645293489562,0.5,0,119.125509826042,1.40441632251051,0.5,0,110.568213403141,0.950293249660334,0.5,0,0.393644304285481,0.0118722256913259,0.380477936071565,0.0132501579954157,-0.112488861602907,0.111270113355191,-0.30969552735843,0.262580811302846,0.0931446850057574,0.121416260911675,8.56289090998645,0.924127003549285,8.36568424423093,0.740636184870295,-0.397245725279095,0.111770518889172,-0.19161217867043,0.135285359591703,12.1639591215643,0.728128008964409
0.1,0.65,50,87.8591619470869,0.770963444613303,NA,NA,113.511990294444,0.892660943860505,0.5,0,110.616833313399,1.02798117030208,0.5,3.33444320434848e-17,114.772331451087,0.929304086648226,0.5,0,123.345530343492,1.50071234989125,0.5,0,114.361133200766,0.938789270616151,0.5,0,114.668793789838,0.920212704478225,0.5,0,123.00361531175,1.39452693052011,0.5,0,114.439220322643,0.954155141223406,0.5,0,0.393644304285481,0.0118722256913259,0.3721013592219,0.0135619065529517,-0.103537661248819,0.110403379917936,-0.341915031742629,0.25444183541715,0.0780871218767137,0.123081641007148,8.57319889240487,0.902581053153985,8.33482152191106,0.728902494508327,-0.411198250321121,0.111523690632381,-0.229573467195588,0.132878731925221,12.3867819983505,0.714631624653247
0.1,0.95,50,90.3468931720833,0.795892289904713,NA,NA,117.726784510087,0.899637880579284,0.5,0,114.598502868892,1.03590357488055,0.5,3.33444320434848e-17,119.001814964303,0.936381656612111,0.5,0,127.564399123491,1.48686182492275,0.5,0,118.57746159202,0.945763141383667,0.5,0,118.886306373964,0.927494564592532,0.5,0,127.191791126949,1.38445977331067,0.5,0,118.645392708998,0.962223144389877,0.5,0,0.393644304285481,0.0118722256913259,0.363197036163776,0.0140510710459705,-0.115508590338946,0.1088321663205,-0.372607996542127,0.252679782980076,0.0679311169776991,0.124596581185379,8.56258415918843,0.879117828921749,8.30548475298525,0.71067672472646,-0.424353372282515,0.111071677479591,-0.240913664965871,0.134053334644052,12.5932882580565,0.69493317020687
1,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,111.460624243072,1.57329313293268,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.62764960087,0.91070033936553,0.5,0,111.144058808456,1.43184216532261,0.5,0,104.454155392674,0.946411069401584,0.5,0,0.341857927209679,0.0175650148476539,0.344792212031388,0.0182343077747645,-0.099074466932581,0.109983023968711,-0.316565434616068,0.313413849272388,0.0992086237338336,0.119438686674401,6.7339001752699,1.00980550002266,6.51640920758642,0.784393360048796,-0.371777298862305,0.111858582052655,-0.17349420819589,0.137334817765436,9.91609065341295,0.779146807163899
1,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,114.205021670306,1.56427793710111,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.366317377977,0.911681392056777,0.5,0,113.880613263984,1.4203640149857,0.5,0,107.182723414949,0.946970040515057,0.5,0,0.341857927209679,0.0175650148476539,0.335384331576364,0.0182801467760398,-0.101480321746621,0.11100308970935,-0.324408406321964,0.316763394207143,0.0985837404426076,0.120888077789176,6.73722397058249,0.99608735168938,6.51429588600715,0.768752852117295,-0.383658025216979,0.111862643397228,-0.183593963027751,0.13664472784542,10.098906769708,0.762562338744621
1,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,117.605341177993,1.55344638212615,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.759825581811,0.91645293489562,0.5,0,117.265311633294,1.41166330426313,0.5,0,110.568213403141,0.950293249660334,0.5,0,0.341857927209679,0.0175650148476539,0.32132290423835,0.0185390605301903,-0.112488861602907,0.111270113355191,-0.340029544699232,0.311746744062784,0.0931446850057574,0.121416260911675,6.73302673457881,0.978790687520604,6.50548605148248,0.75715569339984,-0.397245725279095,0.111770518889172,-0.19161217867043,0.135285359591703,10.3037609288159,0.75066326391871
1,0.65,50,87.8591619470869,0.770963444613303,NA,NA,113.511990294444,0.892660943860505,0.5,0,110.616833313399,1.02798117030208,0.5,3.33444320434848e-17,114.772331451087,0.929304086648226,0.5,0,121.489153196563,1.54167819551974,0.5,0,114.361133200766,0.938789270616151,0.5,0,114.668793789838,0.920212704478225,0.5,0,121.101551537032,1.39749997901058,0.5,0,114.439220322643,0.954155141223406,0.5,0,0.341857927209679,0.0175650148476539,0.310322168647309,0.0184659177514251,-0.103537661248819,0.110403379917936,-0.38760165953066,0.31922410581782,0.0780871218767137,0.123081641007148,6.71682174547563,0.958652709895198,6.43275774719379,0.73557416750934,-0.411198250321121,0.111523690632381,-0.229573467195588,0.132878731925221,10.4847182236333,0.726015195896015
1,0.95,50,90.3468931720833,0.795892289904713,NA,NA,117.726784510087,0.899637880579284,0.5,0,114.598502868892,1.03590357488055,0.5,3.33444320434848e-17,119.001814964303,0.936381656612111,0.5,0,125.687236443307,1.52989968050888,0.5,0,118.57746159202,0.945763141383667,0.5,0,118.886306373964,0.927494564592532,0.5,0,125.249881502192,1.3903692584601,0.5,0,118.645392708998,0.962223144389877,0.5,0,0.341857927209679,0.0175650148476539,0.299376550969254,0.0183816454373639,-0.115508590338946,0.1088321663205,-0.437354941114394,0.31381902817993,0.0679311169776991,0.124596581185379,6.6854214790043,0.936459349313516,6.36357512822885,0.720963554167188,-0.424353372282515,0.111071677479591,-0.240913664965871,0.134053334644052,10.6513786333001,0.71029844904343
5,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,107.397916837111,1.47092843162705,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.62764960087,0.91070033936553,0.5,0,107.150739989608,1.34188172966111,0.5,0,104.454155392674,0.946411069401584,0.5,0,0.176501356569156,0.0146521310135579,0.181542070292736,0.0172774587949595,-0.099074466932581,0.109983023968711,-0.247176847502664,0.270907032201178,0.0992086237338336,0.119438686674401,2.67119276930865,1.01840023284134,2.52309038873857,0.801591507595243,-0.371777298862305,0.111858582052655,-0.17349420819589,0.137334817765436,5.9227718345651,0.845185573076616
5,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,110.10743384261,1.4649076771819,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.366317377977,0.911681392056777,0.5,0,109.833410604899,1.32550233319301,0.5,0,107.182723414949,0.946970040515057,0.5,0,0.176501356569156,0.0146521310135579,0.176108564343494,0.0167410984490659,-0.101480321746621,0.11100308970935,-0.274023237711421,0.27254272007126,0.0985837404426076,0.120888077789176,2.63963614288676,1.00487229606572,2.46709322692196,0.778831415898261,-0.383658025216979,0.111862643397228,-0.183593963027751,0.13664472784542,6.05170411062283,0.824410783522724
5,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,113.47180929756,1.45799947594586,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.759825581811,0.91645293489562,0.5,0,113.177219004503,1.31159800349714,0.5,0,110.568213403141,0.950293249660334,0.5,0,0.176501356569156,0.0146521310135579,0.169186991010498,0.0162551624221408,-0.112488861602907,0.111270113355191,-0.29459029305658,0.275365881941704,0.0931446850057574,0.121416260911675,2.59949485414581,0.987754252673643,2.41739342269214,0.757576042593689,-0.397245725279095,0.111770518889172,-0.19161217867043,0.135285359591703,6.21566830002553,0.806107928661947
