"sweep_type","block","seed","n","alpha","k_min","k_shape","r_min","r_shape","r_min_k_min_ratio","budget_fraction","B_raw","tau_k","tau_r","gamma","epsilon","rho_kr","n_pre_rounds","x_seed","M","ess_risk","degenerate","alpha_budget_sub","mean_K_init","mean_R_init","mean_D_init","mean_S_init","cor_KR_init","total_expected_s1","total_output_s1","mean_K2_s1","mean_R2_s1","mean_D2_s1","mean_S2_s1","cor_K2R2_s1","total_expected_s2","total_output_s2","mean_K2_s2","mean_R2_s2","mean_D2_s2","mean_S2_s2","cor_K2R2_s2","total_expected_s3","total_output_s3","mean_K2_s3","mean_R2_s3","mean_D2_s3","mean_S2_s3","cor_K2R2_s3","total_expected_s4","total_output_s4","mean_K2_s4","mean_R2_s4","mean_D2_s4","mean_S2_s4","cor_K2R2_s4","total_expected_s5","total_output_s5","mean_K2_s5","mean_R2_s5","mean_D2_s5","mean_S2_s5","cor_K2R2_s5","total_expected_s6","total_output_s6","mean_K2_s6","mean_R2_s6","mean_D2_s6","mean_S2_s6","cor_K2R2_s6","total_expected_s7","total_output_s7","mean_K2_s7","mean_R2_s7","mean_D2_s7","mean_S2_s7","cor_K2R2_s7","total_expected_s8","total_output_s8","mean_K2_s8","mean_R2_s8","mean_D2_s8","mean_S2_s8","cor_K2R2_s8","total_expected_s9","total_output_s9","mean_K2_s9","mean_R2_s9","mean_D2_s9","mean_S2_s9","cor_K2R2_s9","gain_grant_myopic","gain_grant_forward","gain_seed_myopic","gain_seed_vs_grant","best_strategy_idx","best_strategy_expected"
"micro","default",1,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,1.90819299407235,1.70053117700902,0.0256156207789285,0.0697516890696932,-0.0114367022588526,81.3648508658689,87,1.98856932323355,1.70053117700902,0.0478609399720633,0.0686482541507563,-0.004011380683399,85.281257657495,83,1.9923715568303,1.84195253324632,0.00608300881571207,0.0634479522598319,-0.00468318271724628,85.429920968661,99,1.99243844740227,1.84195253324632,0.0122359199701186,0.0614306370145109,0.0384393763958869,85.8806697560006,63,1.99327630872946,1.84053117700902,0.00859836874504542,0.061900388692393,0.0180530006167864,87.7178005318791,69,1.99482811576621,1.84053117700902,0.0294778673034298,0.0583161088381524,0.575821662881531,85.7183843864823,84,1.99288937433278,1.84053117700902,0.00849188119016746,0.061558310407726,0.0248791331021354,86.0044662715041,72,1.9928988772658,1.84053117700902,0.0131254381488272,0.0560148378820974,0.0947019357763826,87.7178005318791,91,1.99482811576621,1.84053117700902,0.0294778673034298,0.0583161088381524,0.575821662881531,85.7162391717905,98,1.99288937433278,1.84053117700902,0.0163050222158781,0.0611047656153461,0.061472278792283,1.83713077587855,1.71333426037509,-0.16228536951833,-1.99941614539688,5,87.7178005318791
"micro","default",2,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,2.06127627324935,1.88906499960049,0.0322255617307355,0.0900067643575102,0.232511529340833,86.7788072469065,92,2.14695066928474,1.88906499960049,0.0540280673213556,0.0880910636900336,0.251438935529423,90.8083768381396,91,2.15087050125174,2.0304863558378,0.0124288436926582,0.0821520430921247,0.250593268252807,90.7658389555482,91,2.1508694819903,2.0304863558378,0.0218283972422887,0.0846540808868045,0.286091895257585,90.0719402709397,83,2.150252221493,2.02906499960049,0.0175521827352245,0.0904355103324682,0.225023547985203,94.0685960577642,99,2.15412849215678,2.02906499960049,0.0297583777960882,0.0657226039862759,0.465626887314357,90.8443940156423,95,2.150585384656,2.02906499960049,0.0225661958262451,0.0809813486995874,0.287589030805458,91.2303346659268,86,2.15073570334596,2.02906499960049,0.0179113492421788,0.0754016275031032,0.296625966810842,94.1011478050466,95,2.15419001762419,2.02906499960049,0.0297415137170054,0.0657013736870067,0.465909291507517,91.2758519079977,84,2.15082335493156,2.02906499960049,0.0167476796231978,0.0778369664142746,0.304338357805024,3.99665578682452,2.8708131391198,0.772453744702602,-3.22420204212192,8,94.1011478050466
"micro","default",3,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,1.53752841206599,2.03969095367484,-0.0715389717928736,0.0891119262405853,-0.19934995009159,77.8334169394636,72,1.61416013046063,2.03969095367484,-0.0481451338746949,0.0842424914057242,-0.181349550664998,81.140398756842,84,1.61735719418958,2.18111230991215,-0.0881105777203933,0.0826287988920986,-0.1826999350858,80.5233663015442,87,1.61657749772141,2.18111230991215,-0.0797066819772334,0.0847113520435846,-0.169362950364027,81.0699860206657,85,1.61741820982931,2.17969095367484,-0.083929283257361,0.0879358939097839,-0.160755276981102,82.4795114321,73,1.61869275441491,2.17969095367484,-0.0864476769030646,0.0721147004865514,-0.0728866858171009,80.8259140720398,91,1.61735859955993,2.17969095367484,-0.0810071444546856,0.0921044545341891,-0.173760613272736,80.9738753748647,84,1.61746448105195,2.17969095367484,-0.0792371051689508,0.089214286521845,-0.119735896635434,82.39761080115,74,1.6184378686316,2.17969095367484,-0.0835683687504961,0.0715994366565824,-0.0396591794735269,81.0205156524259,84,1.61745268310171,2.17969095367484,-0.0845966249857608,0.0888187559140513,-0.176817714439843,1.40952541143436,1.42373542628528,-0.244071948625916,-1.65359736006027,5,82.4795114321
"micro","default",4,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,2.39034344009879,1.98211326389496,0.0458655273620747,0.112649006862804,-0.0508384757263068,89.7711493976323,88,2.47900240502781,1.98211326389496,0.0668259005724761,0.11084536172443,-0.0430223491721021,93.9815112722754,91,2.48310691814182,2.12353462013227,0.0282958660696346,0.103325781031074,-0.0434824408468368,94.2130714544151,85,2.48350064931408,2.12353462013227,0.034678470536361,0.105549572052746,-0.0186352285517198,93.1394526379753,81,2.4825388967241,2.12211326389496,0.0404060399433688,0.113705721838986,-0.0347153996247314,98.9293175066389,96,2.48810944400194,2.12211326389496,0.050993574837797,0.0912518965950344,0.381265414804025,93.6139492062127,95,2.48257373675842,2.12211326389496,0.0411577375242217,0.10767193852248,-0.00280272818950563,93.5245441793994,101,2.48272539142451,2.12211326389496,0.0527185529168771,0.107151072328072,0.0408329477361689,98.8753599527423,101,2.48800345647298,2.12211326389496,0.051030051648782,0.0912902768788438,0.38077565393664,93.7331371705849,98,2.48247490747335,2.12211326389496,0.0383179307976527,0.103383908066625,-0.00863062941439501,5.78986486866363,5.35081577334287,0.474496568237456,-5.31536830042617,5,98.9293175066389
"micro","default",5,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,1.80548285108863,2.27526062670389,-0.0561664805911463,0.117678260444057,-0.148428782524158,85.0529888236739,78,1.88922126127612,2.27526062670389,-0.0338336794311565,0.112709950822039,-0.132573763019675,88.5687737149371,89,1.8926327145559,2.4166819829412,-0.0714482471349818,0.109070293470227,-0.133639343140215,88.5187893383174,91,1.89225246161286,2.4166819829412,-0.0686284683091951,0.105476936328074,-0.109765505482245,88.1289741150774,82,1.89191063594647,2.41526062670389,-0.0674787396217488,0.11470645917774,-0.116222657654007,91.223100565755,83,1.89546684157174,2.41526062670389,-0.0615068203882619,0.094376852970359,0.0414228818061611,88.5595658368688,70,1.89183838266658,2.41526062670389,-0.0704238310331441,0.106685376080858,-0.0987441138376733,88.1619661735554,82,1.89188172458779,2.41526062670389,-0.0699248756760246,0.114779703674663,-0.130225003830519,91.0520798636879,97,1.89512029921052,2.41526062670389,-0.0615105224949033,0.0943235882650939,0.0418095919664851,87.7923466418961,113,1.89184900323814,2.41526062670389,-0.0695296089188169,0.119634181336554,-0.162824316744653,3.09412645067766,2.89011369013247,0.430591721791458,-2.6635347288862,5,91.223100565755
"micro","default",6,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,2.4101120769584,2.06064599757269,0.0663113078852691,0.0988894481716982,0.128410499057728,94.7719954194366,99,2.50375791428078,2.06064599757269,0.0871563139968857,0.0983945558349035,0.143427110356091,99.0750125957279,102,2.5079522700891,2.20206735381,0.0470088684480249,0.0907779925523192,0.142810629505351,99.3623568348724,114,2.50846531572448,2.20206735381,0.0497502778228624,0.0905253900244607,0.157437143066982,100.290122871259,109,2.50852075977996,2.20064599757269,0.0610658977371626,0.0857240383601857,0.248031508568629,102.603922547076,99,2.51154309107268,2.20064599757269,0.0695230588329664,0.0802535598543175,0.36325276837449,99.1522464738281,101,2.5075654929347,2.20064599757269,0.0547604122662062,0.0904252416553725,0.178866829545949,100.106830006424,109,2.50919281219966,2.20064599757269,0.0563384840702759,0.0891115468144067,0.188970127860207,102.593001407053,96,2.51146971893665,2.20064599757269,0.0668674983200711,0.0781807727984876,0.342972219409826,98.7050413098205,109,2.50721179374632,2.20064599757269,0.0515428417214494,0.0938145048216428,0.146496059895208,2.31379967581675,2.48617140062896,-1.13787639743107,-3.45167607324782,5,102.603922547076
"micro","default",7,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,2.59309859427474,1.61687821818561,0.0773642997614866,0.110009498298282,0.0435429128249972,83.5820705791898,76,2.67579278429102,1.61687821818561,0.09837163039441,0.108598329994708,0.047996889140044,88.0045524697526,100,2.68010853705973,1.75829957442292,0.0581544938639241,0.102991591482768,0.0476477895171395,88.2150429822415,81,2.68036395337907,1.75829957442292,0.0636427670769607,0.104724842386114,0.0983620941369155,88.3738017384989,81,2.68055192068565,1.75687821818561,0.068751211602078,0.107124732631713,0.190894983826568,92.9677317308636,93,2.68509349717345,1.75687821818561,0.0797132314048723,0.084727280388595,0.565950183736119,89.101836098732,86,2.67983153019509,1.75687821818561,0.0750848959205481,0.0929833434447572,0.30799251685279,88.6936915075774,91,2.68017199275442,1.75687821818561,0.0674586870531263,0.0971107278779007,0.181032446073363,93.0190140613776,80,2.68513828604137,1.75687821818561,0.0807624484662617,0.0857336593785594,0.596966495475964,88.99135540081,92,2.6801536736112,1.75687821818561,0.0758572451390641,0.103877225973601,0.419794894944317,4.59392999236475,4.32532255380025,0.728034360233167,-3.86589563213158,8,93.0190140613776
"micro","default",8,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,1.89461104282731,2.08094867573414,0.0106490520542073,0.111079880697159,-0.160741068742314,79.5129975645228,74,1.97306116641524,2.08094867573414,0.0321602532440266,0.108409333417898,-0.15444811714858,83.46542772919,78,1.97690740597874,2.22237003197145,-0.0082561616582969,0.102481465534806,-0.154961406345626,83.6428283419337,88,1.9765266307777,2.22237003197145,-0.00585692903487251,0.0966422988812668,-0.133290863177163,82.9941393917593,87,1.97570990588707,2.22094867573414,-0.0052609483389623,0.103330272314648,-0.139769903754905,86.2887329059639,83,1.97988762508365,2.22094867573414,0.00357803669127146,0.0874332054166234,-0.0233739561954311,82.8469781560177,86,1.97630876033111,2.22094867573414,0.00391142612602397,0.108638428344706,-0.140201257477937,83.7587640514911,103,1.97710990518509,2.22094867573414,0.00197954684166132,0.103311428818956,-0.112516145629284,86.2878179133058,77,1.9796085752023,2.22094867573414,0.00628127729929993,0.0864482353051904,-0.00510473489106105,83.2611990446341,65,1.9764371570889,2.22094867573414,0.00143935486020481,0.103879335298234,-0.129325332396328,3.29459351420456,2.5290538618147,-0.147161235741635,-3.4417547499462,5,86.2887329059639
"micro","default",9,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,2.20428147127745,2.45178495294274,0.0358236367592601,0.154881609100547,-0.152135065479056,80.4493926966285,83,2.28365658627918,2.45178495294274,0.0556802077925768,0.15256306813786,-0.147013943951163,84.7258358270033,82,2.28783430677833,2.59320630918005,0.016208618783858,0.144124391433028,-0.147415773641982,84.5783793729884,99,2.28749931072352,2.59320630918005,0.0215557981197386,0.145018287121621,-0.141162580606545,85.6880583000039,66,2.28857944828082,2.59178495294274,0.0261161252308474,0.141559911935337,-0.115835007931121,88.8680442422272,74,2.29197378869531,2.59178495294274,0.0351994191439869,0.129965607542948,-0.027046156629078,83.9716287773487,76,2.2873482640309,2.59178495294274,0.0237939129397121,0.154225278592273,-0.153469803418136,86.3578475629297,81,2.2880982323049,2.59178495294274,0.0252577170009747,0.127240926933158,-0.095232814165227,88.8684570621473,84,2.29205226590962,2.59178495294274,0.0339084601271501,0.129173690010872,-0.0402178409752762,85.0829502202225,78,2.2877860117473,2.59178495294274,0.0258138310321894,0.145949972891205,-0.119775699077151,3.1799859422233,2.51060949921758,-1.7164295226552,-4.8964154648785,8,88.8684570621473
"micro","default",10,50,2,1,2,1,2,1,0.1,7.07106781186548,1,1,1,0.1,0,0,0.5,500,FALSE,FALSE,2,1.57864553381097,1.54101951471155,0.0152862579397971,0.0588438455613331,-0.178479980421189,72.6643483759116,88,1.65040283646847,1.54101951471155,0.0378891544159877,0.0578094938806269,-0.165423308876934,76.4578837464056,66,1.65408014713801,1.68244087094886,-0.00761891486714847,0.0528310742971999,-0.166580932484647,76.3844498567601,81,1.65414314018207,1.68244087094886,-0.00570995479082901,0.0558822926269594,-0.17238812764652,76.6166264706433,66,1.65404987956322,1.68101951471155,0.000522058729260914,0.0514735263338722,-0.00275425315791248,77.9734436915911,76,1.65550122757367,1.68101951471155,0.00548162415587824,0.0413279810312534,0.325252450734759,76.0620546968237,85,1.65401713530287,1.68101951471155,0.000318642272965753,0.0612629037766505,-0.170413244452849,76.3862000631075,86,1.65384517347011,1.68101951471155,-0.000675295277448112,0.0547121451946618,-0.0471296516284086,77.9563409825974,88,1.65550122757367,1.68101951471155,0.0072968949234423,0.0417152645678806,0.375427462918962,76.6752077785297,73,1.65401713530287,1.68101951471155,0.00390119738733146,0.0514836278269678,0.0981427782081672,1.3568172209478,1.57014091948994,-0.554571773819646,-1.91138899476745,5,77.9734436915911
