"tau_k","epsilon","n_trials","out_S5_mean","out_S8_mean","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","alpha_S8_mean"
0.1,0.05,15,112.555583212993,112.168919430682,-0.386663782310865,0.138076051380091,0.56
0.1,0.3,15,117.035810317722,116.834509905695,-0.201300412027597,0.121252398783335,0.516666666666667
0.1,0.85,15,125.406901743248,125.524023456754,0.117121713506041,0.0750740917593174,0.436666666666667
1,0.05,15,110.471512461823,110.142439054243,-0.329073407579945,0.10917428590099,0.55
1,0.3,15,114.908432143229,114.796344862096,-0.112087281133128,0.0933285294820701,0.503333333333333
1,0.85,15,123.226887301195,123.2497585664,0.0228712652048443,0.0969746735448785,0.44
10,0.05,15,105.192343182481,104.9207735934,-0.271569589080369,0.221556951634356,0.51
10,0.3,15,109.58203673787,109.420465359837,-0.16157137803325,0.296468208434904,0.476666666666667
10,0.85,15,117.854658797489,117.859990360602,0.0053315631132525,0.229821559040852,0.41
