"tau_k","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S8_mean","gini_g1_S8_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.1,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,NA,NA,101.227968155043,1.01409993437865,NA,NA,104.726724067802,0.920926363174927,NA,NA,113.234304696127,1.53862250597093,NA,NA,104.35494676894,0.930390988552595,NA,NA,104.62764960087,0.91070033936553,NA,NA,112.959548804299,1.4252023841792,NA,NA,104.454155392674,0.946411069401584,NA,NA,0.393644304285481,0.0118722256913259,0.395335712736258,0.0132088568338639,-0.099074466932581,0.109983023968711,-0.274755891828127,0.267067673233948,0.0992086237338336,0.119438686674401,8.5075806283247,0.957812690948663,8.33189920342916,0.767825933754448,-0.371777298862305,0.111858582052655,-0.17349420819589,0.137334817765436,11.7315806492557,0.758004505128487
0.1,0.15,50,83.0325369485035,0.729701945361926,NA,NA,105.354152243683,0.884767728337009,NA,NA,102.947416796627,1.01618784002243,NA,NA,106.572938093896,0.92166839974375,NA,NA,115.102149377642,1.53122992968032,NA,NA,106.19306694658,0.931164832526696,NA,NA,106.474648770031,0.911495018978227,NA,NA,114.817274024694,1.41795248224719,NA,NA,106.290500934649,0.946492826189927,NA,NA,0.393644304285481,0.0118722256913259,0.390727512889558,0.0131306139665553,-0.0982893238643768,0.110205679560258,-0.284875352948107,0.271047271166896,0.0974339880689959,0.120473253327592,8.52921128374594,0.94773431444944,8.34262525466221,0.758165135255897,-0.379871147315895,0.111868779109907,-0.184147835382522,0.137462694368611,11.8698572280667,0.746942911236045
0.1,0.3,50,84.581973506464,0.741932030583992,NA,NA,107.969886191731,0.886558295216394,NA,NA,105.402101041443,1.01950500013455,NA,NA,109.203953387934,0.923315355695199,NA,NA,117.756551111041,1.52099127735016,NA,NA,108.813203466088,0.932835469032229,NA,NA,109.088624332756,0.915584936051269,NA,NA,117.462116820254,1.40904388699362,NA,NA,108.911609971389,0.94867944039028,NA,NA,0.393644304285481,0.0118722256913259,0.383752386908104,0.0133293327819222,-0.115329055177324,0.111153023624286,-0.294434290787629,0.266249952551647,0.0984065053006398,0.121487759615872,8.55259772310765,0.933308403429752,8.37349248749734,0.74709816800623,-0.390749921845334,0.111829507863599,-0.17701436136737,0.135101799284293,12.060015778811,0.735536544355681
0.1,0.55,50,86.9672825081172,0.762635441624899,NA,NA,112.002500721854,0.890669647509803,NA,NA,109.194381889074,1.02546544488802,NA,NA,113.256485512575,0.927316926526617,NA,NA,121.82796792815,1.50602316023452,NA,NA,112.850504109298,0.936823104464613,NA,NA,113.137663693853,0.919132416463214,NA,NA,121.497900562506,1.40008416553279,NA,NA,112.928302987959,0.952018756284825,NA,NA,0.393644304285481,0.0118722256913259,0.374612424005857,0.013445849473642,-0.118821818722209,0.111108668009517,-0.330067365644003,0.257336252651739,0.0777988786610001,0.122619657974112,8.57148241557408,0.910967779832372,8.36023686865229,0.733877549824902,-0.405981403277691,0.111638249785877,-0.209360705894481,0.134206621101297,12.3035186734319,0.72084675088032
0.1,0.85,50,89.5472121747001,0.7876051301746,NA,NA,116.371274909454,0.897158060340838,NA,NA,113.316273625884,1.03320551312705,NA,NA,117.642065396244,0.933851142994202,NA,NA,126.210535776291,1.49114892984925,NA,NA,117.221715122378,0.943273160962011,NA,NA,117.532096812918,0.925703146542319,NA,NA,125.8425121981,1.38681836229204,NA,NA,117.294431498179,0.959902264852912,NA,NA,0.393644304285481,0.0118722256913259,0.365085827413397,0.0138502027144041,-0.109968583326199,0.109634188430301,-0.368023578190688,0.255256675181399,0.0727163758006185,0.124209135802195,8.56847038004686,0.886669461616083,8.31041538518237,0.71526185280062,-0.4203502738653,0.111238903822306,-0.237665314738482,0.134148470223088,12.5262385722154,0.699661532528733
0.3,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,NA,NA,101.227968155043,1.01409993437865,NA,NA,104.726724067802,0.920926363174927,NA,NA,113.00788753202,1.55850210951438,NA,NA,104.35494676894,0.930390988552595,NA,NA,104.62764960087,0.91070033936553,NA,NA,112.711414181091,1.43606176578813,NA,NA,104.454155392674,0.946411069401584,NA,NA,0.3896411958823,0.0141707931437477,0.388122781027692,0.0147470973378775,-0.099074466932581,0.109983023968711,-0.296473350928248,0.283894475798669,0.0992086237338336,0.119438686674401,8.28116346421735,0.976534683152458,8.08376458022168,0.77385241361717,-0.371777298862305,0.111858582052655,-0.17349420819589,0.137334817765436,11.4834460260482,0.762565737966938
0.3,0.15,50,83.0325369485035,0.729701945361926,NA,NA,105.354152243683,0.884767728337009,NA,NA,102.947416796627,1.01618784002243,NA,NA,106.572938093896,0.92166839974375,NA,NA,114.873125611575,1.55155667211859,NA,NA,106.19306694658,0.931164832526696,NA,NA,106.474648770031,0.911495018978227,NA,NA,114.566851418904,1.42869411061742,NA,NA,106.290500934649,0.946492826189927,NA,NA,0.3896411958823,0.0141707931437477,0.384869079902336,0.0147308680634369,-0.0982893238643768,0.110205679560258,-0.306274192671604,0.280497320419153,0.0974339880689959,0.120473253327592,8.30018751767947,0.966795460807531,8.09220264887224,0.766143244356991,-0.379871147315895,0.111868779109907,-0.184147835382522,0.137462694368611,11.6194346222767,0.75424201007663
0.3,0.3,50,84.581973506464,0.741932030583992,NA,NA,107.969886191731,0.886558295216394,NA,NA,105.402101041443,1.01950500013455,NA,NA,109.203953387934,0.923315355695199,NA,NA,117.524246298138,1.54191059834109,NA,NA,108.813203466088,0.932835469032229,NA,NA,109.088624332756,0.915584936051269,NA,NA,117.209137227034,1.41871702655076,NA,NA,108.911609971389,0.94867944039028,NA,NA,0.3896411958823,0.0141707931437477,0.378208118158845,0.0145734220227943,-0.115329055177324,0.111153023624286,-0.315109071103569,0.282979286493867,0.0984065053006398,0.121487759615872,8.32029291020394,0.952828513816392,8.1205128942777,0.752467794213425,-0.390749921845334,0.111829507863599,-0.17701436136737,0.135101799284293,11.8070361855913,0.738856913639421
0.3,0.55,50,86.9672825081172,0.762635441624899,NA,NA,112.002500721854,0.890669647509803,NA,NA,109.194381889074,1.02546544488802,NA,NA,113.256485512575,0.927316926526617,NA,NA,121.591595316412,1.52774582726706,NA,NA,112.850504109298,0.936823104464613,NA,NA,113.137663693853,0.919132416463214,NA,NA,121.242982571902,1.40791534570698,NA,NA,112.928302987959,0.952018756284825,NA,NA,0.3896411958823,0.0141707931437477,0.365284401208531,0.0147044547184136,-0.118821818722209,0.111108668009517,-0.348612744509972,0.279411193468013,0.0777988786610001,0.122619657974112,8.33510980383639,0.93113402229816,8.10531887804862,0.735771932816032,-0.405981403277691,0.111638249785877,-0.209360705894481,0.134206621101297,12.0486006828282,0.721443187590372
0.3,0.85,50,89.5472121747001,0.7876051301746,NA,NA,116.371274909454,0.897158060340838,NA,NA,113.316273625884,1.03320551312705,NA,NA,117.642065396244,0.933851142994202,NA,NA,125.971087407618,1.51358054012553,NA,NA,117.221715122378,0.943273160962011,NA,NA,117.532096812918,0.925703146542319,NA,NA,125.589985823664,1.39703470400306,NA,NA,117.294431498179,0.959902264852912,NA,NA,0.3896411958823,0.0141707931437477,0.354593361975731,0.0150775894395505,-0.109968583326199,0.109634188430301,-0.381101583954576,0.276086194323689,0.0727163758006185,0.124209135802195,8.32902201137467,0.907444237849152,8.05788901074629,0.719197165137923,-0.4203502738653,0.111238903822306,-0.237665314738482,0.134148470223088,12.2737121977793,0.702397341987161
