"tau_k","epsilon","seed","out_S1","alpha_S1","out_S2","alpha_S2","out_S3","alpha_S3","out_S4","alpha_S4","out_S5","alpha_S5","out_S6","alpha_S6","out_S7","alpha_S7","out_S8","alpha_S8","out_S9","alpha_S9","gini_g1_S5","gini_g1_S8","fwd_vs_myo_P","fwd_vs_myo_PG","fwd_vs_myo_PS","signal_myo","signal_fwd","seed_myo","seed_fwd","optimal_vs_naive"
0.1,0.05,11,70.2987911402309,NA,90.0143303376112,0.5,85.1979622294876,0.5,89.6887727628844,0.5,92.7181789335926,0.5,89.3268168905104,0.5,89.558608590408,0.5,93.0414177306326,0.5,88.8379879895766,0.5,0.242222222222222,0.269411764705882,-0.130164172476356,0.32323879703992,-0.488828900933811,3.02940617070826,3.48280914022453,-0.361955872373983,-0.720620600831438,7.84345550114493
0.1,0.05,12,77.0726133508961,NA,97.6990954018201,0.5,94.8338171737927,0.5,98.861400910721,0.5,104.14439746808,0.5,98.4776198976154,0.5,99.075766681903,0.5,104.158649274506,0.5,98.8424627449294,0.5,0.361538461538461,0.344615384615385,0.214365771182074,0.01425180642633,0.364842847313952,5.2829965573586,5.08288259260286,-0.383781013105519,-0.233303936973641,9.32483210071321
0.1,0.05,13,80.5024922217724,NA,101.868377157041,0.5,99.1135007694867,0.5,102.923520079241,0.5,107.706235915607,0.5,102.368421860081,0.5,103.268196615366,0.5,107.779690155323,0.5,102.780880768425,0.5,0.338461538461538,0.334814814814815,0.344676536124481,0.0734542397165967,0.412458908343567,4.78271583636541,4.51149353995753,-0.55509821916003,-0.487315846940945,8.66618938583676
0.1,0.05,14,82.4390598987508,NA,106.636483803232,0.5,102.715487590288,0.5,106.423074977131,0.5,113.493065956303,0.5,106.777320963642,0.5,106.572294145653,0.5,113.702313010554,0.5,106.502009785457,0.5,0.380869565217391,0.383333333333333,0.14921916852208,0.209247054251691,-0.275311178185547,7.06999097917152,7.13001886490113,0.354245986511287,-0.0702843601963394,10.9868254202662
0.1,0.05,15,93.7423487076798,NA,113.033122599378,0.5,110.249027202997,0.5,113.694091783805,0.5,120.532626002091,0.5,113.694054717028,0.5,113.180329722785,0.5,120.702655725046,0.5,113.513708344106,0.5,0.419130434782609,0.412173913043478,-0.513762061019705,0.170029722954695,-0.180346372921733,6.83853421828621,7.52232600226061,-3.70667771107946e-05,0.333378621320861,10.4536285220485
0.1,0.05,16,85.7211560027588,NA,107.237325876592,0.5,102.955197955252,0.5,107.673290498362,0.5,114.520592331295,0.5,107.201096005461,0.5,107.022081565442,0.5,114.52719813346,0.5,107.71972814365,0.5,0.369090909090909,0.377391304347826,-0.651208932920753,0.00660580216559481,0.518632138188735,6.84730183293226,7.50511656801861,-0.47219449290148,0.697646578208008,11.5720001782085
0.1,0.05,17,79.583660613657,NA,103.609530635166,0.5,99.1792978989213,0.5,104.149936974621,0.5,110.369190167874,0.5,104.083244444324,0.5,103.988189834759,0.5,110.451083186118,0.5,103.708855937529,0.5,0.346086956521739,0.345,-0.161747139861575,0.0818930182442728,-0.374388506794844,6.21925319325305,6.4628933513589,-0.0666925302968338,-0.279333897230103,11.2717852871968
0.1,0.05,18,78.8403184356226,NA,99.1817944914993,0.5,97.7543879858915,0.5,100.825974881195,0.5,109.07704519895,0.5,100.61329209596,0.5,100.553405991716,0.5,109.01157252808,0.5,102.136735514575,0.5,0.455238095238095,0.484,-0.272568889478535,-0.0654726708693261,1.52344341861509,8.2510703177548,8.458166536364,-0.21268278523516,1.58332952285846,11.2571845421889
0.1,0.05,19,89.6943062734284,NA,109.12869645273,0.5,105.942820063092,0.5,110.195797268952,0.5,112.720998161597,0.5,109.870958407018,0.5,110.876233885379,0.5,112.664517232882,0.5,110.395425405493,0.5,0.309333333333333,0.301333333333333,0.680436616426945,-0.0564809287152457,0.52446699847539,2.52520089264516,1.78828334750297,-0.324838861934595,-0.48080847988615,6.72169716978995
0.1,0.05,20,77.3480020129813,NA,99.3082920709933,0.5,97.241743693501,0.5,100.857644641224,0.5,110.465548542535,0.5,100.798082389641,0.5,100.628880182118,0.5,110.478920421757,0.5,99.3598399425721,0.5,0.449090909090909,0.445454545454546,-0.22876445910596,0.0133718792224329,-1.43824244706875,9.60790390131109,9.85004023963948,-0.0595622515829177,-1.2690402395457,13.2371767282563
