"schedule","eps","out","se"
"even",1e-04,498.168980451499,5.06184033828636
"x0.5_k3",1e-04,498.168980451499,5.06184033828636
"x0.3_k2",1e-04,496.343937636206,5.07161357019243
"x0.1_k1",1e-04,491.869932874585,4.9618721153797
"x0.3_k1",1e-04,490.320704575251,4.92877449597575
"x0.5_k2",1e-04,487.65078121971,4.87493807736129
"x0.7_k3",1e-04,480.843918589582,4.8074281837143
"x0.3_k3",1e-04,473.117449891947,4.70476916084393
"x0.1_k2",1e-04,453.836995043791,4.5246922751343
"x0.5_k1",1e-04,445.923865053081,4.32755733766984
"x0.7_k2",1e-04,438.258828792219,4.3806199898814
"x0.9_k3",1e-04,404.12510096384,4.36036262572804
"x0.1_k3",1e-04,397.195871110768,3.98834162832891
"x0.7_k1",1e-04,366.337395775312,3.55566943921916
"x0.9_k2",1e-04,330.173231457684,3.77701118901202
"x0.9_k1",1e-04,232.910514263539,2.92350056301578
