"T_rounds","tau_k","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
3,0.1,200,126.3916,0.5178,NA,NA,150.5951,0.5629,0.3333,0,148.9652,0.6151,0.3333,0,151.6142,0.6058,0.3333,0,161.973,0.835,0.3333,0,151.5644,0.6084,0.3356,0,151.8204,0.6075,0.2952,0.0012,162.2216,0.8368,0.3184,6e-04,151.4868,0.6038,0.2587,0.0022,0.5184,5e-04,0.5077,3e-04,0.5279,8e-04,0.7939,0.0056,0.4225,0.0034,0.7987,0.0055,0.4426,0.0019,0.0128,0.0102,0.2061,0.0228,0.2485,0.0068,-0.0777,0.0355,10.3588,0.3953,10.4012,0.3956,-0.0498,0.0358,-0.3336,0.0419,13.2563,0.3961
3,0.3,200,126.3916,0.5178,NA,NA,150.5951,0.5629,0.3333,0,148.9652,0.6151,0.3333,0,151.6142,0.6058,0.3333,0,161.7642,0.8492,0.3333,0,151.5644,0.6084,0.3356,0,151.8204,0.6075,0.2952,0.0012,162.0083,0.8525,0.3169,7e-04,151.4868,0.6038,0.2587,0.0022,0.5184,5e-04,0.5082,3e-04,0.5279,8e-04,0.7965,0.0061,0.4225,0.0034,0.8024,0.0058,0.4426,0.0019,0.0128,0.0102,0.2061,0.0228,0.2441,0.0081,-0.0777,0.0355,10.15,0.4077,10.1879,0.4102,-0.0498,0.0358,-0.3336,0.0419,13.0431,0.41
3,1,200,126.3916,0.5178,NA,NA,150.5951,0.5629,0.3333,0,148.9652,0.6151,0.3333,0,151.6142,0.6058,0.3333,0,159.8102,0.8761,0.3333,0,151.5644,0.6084,0.3356,0,151.8204,0.6075,0.2952,0.0012,160.0517,0.8774,0.3144,7e-04,151.4868,0.6038,0.2587,0.0022,0.5184,5e-04,0.5097,3e-04,0.5279,8e-04,0.7473,0.0095,0.4225,0.0034,0.7666,0.0086,0.4426,0.0019,0.0128,0.0102,0.2061,0.0228,0.2415,0.0104,-0.0777,0.0355,8.196,0.4439,8.2313,0.443,-0.0498,0.0358,-0.3336,0.0419,11.0865,0.4427
3,3,200,126.3916,0.5178,NA,NA,150.5951,0.5629,0.3333,0,148.9652,0.6151,0.3333,0,151.6142,0.6058,0.3333,0,155.962,0.8476,0.3333,0,151.5644,0.6084,0.3356,0,151.8204,0.6075,0.2952,0.0012,156.1663,0.8539,0.3066,9e-04,151.4868,0.6038,0.2587,0.0022,0.5184,5e-04,0.5136,4e-04,0.5279,8e-04,0.5924,0.0119,0.4225,0.0034,0.6393,0.0116,0.4426,0.0019,0.0128,0.0102,0.2061,0.0228,0.2043,0.0245,-0.0777,0.0355,4.3478,0.4248,4.346,0.4308,-0.0498,0.0358,-0.3336,0.0419,7.2011,0.4411
3,10,200,126.3916,0.5178,NA,NA,150.5951,0.5629,0.3333,0,148.9652,0.6151,0.3333,0,151.6142,0.6058,0.3333,0,152.6129,0.7165,0.3333,0,151.5644,0.6084,0.3356,0,151.8204,0.6075,0.2952,0.0012,152.7502,0.7196,0.2962,0.001,151.4868,0.6038,0.2587,0.0022,0.5184,5e-04,0.518,4e-04,0.5279,8e-04,0.4102,0.0066,0.4225,0.0034,0.4615,0.0073,0.4426,0.0019,0.0128,0.0102,0.2061,0.0228,0.1373,0.0344,-0.0777,0.0355,0.9987,0.2845,0.9299,0.2861,-0.0498,0.0358,-0.3336,0.0419,3.785,0.3175
4,0.1,200,170.7492,0.7015,NA,NA,196.6958,0.7365,0.25,0,195.2496,0.7821,0.25,0,197.9952,0.8019,0.25,0,210.4487,1.0122,0.25,0,197.7057,0.7986,0.2443,0,197.8068,0.7988,0.1607,0.0016,210.4486,1.0115,0.2347,6e-04,197.5415,0.7916,0.1314,0.0016,0.5551,8e-04,0.5106,3e-04,0.5617,8e-04,0.8326,0.0049,0.687,0.0038,0.8386,0.0046,0.4383,0.0042,0.0128,0.0102,-0.1885,0.0491,-1e-04,0.0082,-0.1642,0.052,12.4535,0.4147,12.6418,0.4218,-0.2895,0.0412,-0.2653,0.0461,15.199,0.4396
4,0.3,200,170.7492,0.7015,NA,NA,196.6958,0.7365,0.25,0,195.2496,0.7821,0.25,0,197.9952,0.8019,0.25,0,210.2972,1.0269,0.25,0,197.7057,0.7986,0.2443,0,197.8068,0.7988,0.1607,0.0016,210.3087,1.028,0.2349,5e-04,197.5415,0.7916,0.1314,0.0016,0.5551,8e-04,0.5106,3e-04,0.5617,8e-04,0.8373,0.0049,0.687,0.0038,0.8439,0.0045,0.4383,0.0042,0.0128,0.0102,-0.1885,0.0491,0.0115,0.0102,-0.1642,0.052,12.302,0.4288,12.502,0.4381,-0.2895,0.0412,-0.2653,0.0461,15.0592,0.4559
4,1,200,170.7492,0.7015,NA,NA,196.6958,0.7365,0.25,0,195.2496,0.7821,0.25,0,197.9952,0.8019,0.25,0,208.037,1.0717,0.25,0,197.7057,0.7986,0.2443,0,197.8068,0.7988,0.1607,0.0016,208.0492,1.0721,0.2328,8e-04,197.5415,0.7916,0.1314,0.0016,0.5551,8e-04,0.5128,5e-04,0.5617,8e-04,0.8162,0.0072,0.687,0.0038,0.8357,0.0062,0.4383,0.0042,0.0128,0.0102,-0.1885,0.0491,0.0122,0.0139,-0.1642,0.052,10.0418,0.4884,10.2425,0.4974,-0.2895,0.0412,-0.2653,0.0461,12.7996,0.5141
4,3,200,170.7492,0.7015,NA,NA,196.6958,0.7365,0.25,0,195.2496,0.7821,0.25,0,197.9952,0.8019,0.25,0,203.4835,1.0663,0.25,0,197.7057,0.7986,0.2443,0,197.8068,0.7988,0.1607,0.0016,203.4787,1.0689,0.215,0.0013,197.5415,0.7916,0.1314,0.0016,0.5551,8e-04,0.5244,8e-04,0.5617,8e-04,0.7007,0.0097,0.687,0.0038,0.7727,0.0082,0.4383,0.0042,0.0128,0.0102,-0.1885,0.0491,-0.0048,0.0355,-0.1642,0.052,5.4882,0.4954,5.6719,0.5074,-0.2895,0.0412,-0.2653,0.0461,8.2291,0.5341
4,10,200,170.7492,0.7015,NA,NA,196.6958,0.7365,0.25,0,195.2496,0.7821,0.25,0,197.9952,0.8019,0.25,0,199.3259,0.9329,0.25,0,197.7057,0.7986,0.2443,0,197.8068,0.7988,0.1607,0.0016,199.2551,0.9351,0.1781,0.0015,197.5415,0.7916,0.1314,0.0016,0.5551,8e-04,0.5453,8e-04,0.5617,8e-04,0.5511,0.0057,0.687,0.0038,0.6834,0.0054,0.4383,0.0042,0.0128,0.0102,-0.1885,0.0491,-0.0708,0.0483,-0.1642,0.052,1.3307,0.3496,1.4483,0.3588,-0.2895,0.0412,-0.2653,0.0461,4.0055,0.3969
5,0.1,200,216.2057,0.8913,NA,NA,243.5534,0.9181,0.2,0,242.187,0.9514,0.2,0,244.9244,0.9998,0.2,0,258.9491,1.1904,0.2,0,244.9023,0.9962,0.2,0,244.8165,0.9956,0.0834,0.0016,258.9642,1.1889,0.1834,7e-04,244.8063,0.9904,0.0855,0.0013,0.5917,0.001,0.5141,4e-04,0.5888,9e-04,0.8578,0.0041,0.8403,0.0031,0.8659,0.004,0.359,0.0081,0.0128,0.0102,-0.1079,0.0732,0.0151,0.0098,-0.096,0.0748,14.0247,0.4302,14.1477,0.4273,-0.0222,0.0471,-0.0103,0.0396,16.7772,0.4756
5,0.3,200,216.2057,0.8913,NA,NA,243.5534,0.9181,0.2,0,242.187,0.9514,0.2,0,244.9244,0.9998,0.2,0,258.8306,1.2057,0.2,0,244.9023,0.9962,0.2,0,244.8165,0.9956,0.0834,0.0016,258.8574,1.2036,0.1844,7e-04,244.8063,0.9904,0.0855,0.0013,0.5917,0.001,0.5139,5e-04,0.5888,9e-04,0.8634,0.0039,0.8403,0.0031,0.8707,0.0036,0.359,0.0081,0.0128,0.0102,-0.1079,0.0732,0.0268,0.0106,-0.096,0.0748,13.9062,0.4447,14.0409,0.4425,-0.0222,0.0471,-0.0103,0.0396,16.6704,0.49
5,1,200,216.2057,0.8913,NA,NA,243.5534,0.9181,0.2,0,242.187,0.9514,0.2,0,244.9244,0.9998,0.2,0,256.56,1.2634,0.2,0,244.9023,0.9962,0.2,0,244.8165,0.9956,0.0834,0.0016,256.6111,1.2626,0.1836,8e-04,244.8063,0.9904,0.0855,0.0013,0.5917,0.001,0.5154,6e-04,0.5888,9e-04,0.8551,0.0057,0.8403,0.0031,0.8714,0.0047,0.359,0.0081,0.0128,0.0102,-0.1079,0.0732,0.0511,0.0163,-0.096,0.0748,11.6355,0.5195,11.7945,0.5196,-0.0222,0.0471,-0.0103,0.0396,14.4241,0.5688
5,3,200,216.2057,0.8913,NA,NA,243.5534,0.9181,0.2,0,242.187,0.9514,0.2,0,244.9244,0.9998,0.2,0,251.4809,1.2751,0.2,0,244.9023,0.9962,0.2,0,244.8165,0.9956,0.0834,0.0016,251.3759,1.2754,0.1643,0.0017,244.8063,0.9904,0.0855,0.0013,0.5917,0.001,0.5323,0.0012,0.5888,9e-04,0.7676,0.008,0.8403,0.0031,0.8437,0.0059,0.359,0.0081,0.0128,0.0102,-0.1079,0.0732,-0.105,0.0464,-0.096,0.0748,6.5565,0.5431,6.5594,0.5491,-0.0222,0.0471,-0.0103,0.0396,9.1889,0.6117
5,10,200,216.2057,0.8913,NA,NA,243.5534,0.9181,0.2,0,242.187,0.9514,0.2,0,244.9244,0.9998,0.2,0,246.7093,1.1454,0.2,0,244.9023,0.9962,0.2,0,244.8165,0.9956,0.0834,0.0016,246.4782,1.1441,0.1074,0.0017,244.8063,0.9904,0.0855,0.0013,0.5917,0.001,0.5731,0.0012,0.5888,9e-04,0.6418,0.0048,0.8403,0.0031,0.8174,0.0037,0.359,0.0081,0.0128,0.0102,-0.1079,0.0732,-0.2311,0.0753,-0.096,0.0748,1.7848,0.3982,1.6616,0.3955,-0.0222,0.0471,-0.0103,0.0396,4.2911,0.4715
