"T_rounds","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
3,0.05,200,124.7301,0.51,NA,NA,148.1634,0.5589,0.3333,0,146.6459,0.6122,0.3333,0,149.1767,0.6017,0.3333,0,157.3965,0.8776,0.3333,0,149.1546,0.604,0.3356,0,149.3704,0.6024,0.3032,0.0011,157.6242,0.8783,0.3229,5e-04,149.0585,0.602,0.2691,0.0022,0.5144,4e-04,0.5054,2e-04,0.5233,8e-04,0.7473,0.0095,0.4072,0.0033,0.7601,0.0089,0.4378,0.0021,0.0128,0.0102,0.1937,0.0199,0.2277,0.0097,-0.0961,0.0326,8.2198,0.4466,8.2538,0.447,-0.0221,0.0355,-0.3119,0.0424,10.9783,0.4453
3,0.15,200,128.0141,0.5258,NA,NA,152.9724,0.5671,0.3333,0,151.2382,0.6182,0.3333,0,153.9641,0.6105,0.3333,0,162.1552,0.8749,0.3333,0,153.9346,0.6119,0.3356,0,154.1969,0.6089,0.2878,0.0013,162.4164,0.8758,0.3046,0.001,153.8384,0.6047,0.2472,0.0022,0.5222,5e-04,0.5145,4e-04,0.5328,9e-04,0.7473,0.0095,0.4363,0.0035,0.7753,0.0081,0.4464,0.0018,0.0128,0.0102,0.2328,0.0292,0.2611,0.0122,-0.0961,0.0386,8.1911,0.4398,8.2195,0.4415,-0.0295,0.0345,-0.3584,0.0411,11.1782,0.4395
3,0.3,200,132.6543,0.5509,NA,NA,159.7842,0.5812,0.3333,0,157.7409,0.6286,0.3333,0,160.7517,0.6258,0.3333,0,168.8795,0.8729,0.3333,0,160.6871,0.6263,0.3356,0,161.0596,0.6221,0.2604,0.0016,169.2486,0.8746,0.2765,0.0016,160.7568,0.6175,0.2164,0.0022,0.5342,6e-04,0.5286,7e-04,0.5461,9e-04,0.7473,0.0095,0.4892,0.0038,0.7998,0.0072,0.4464,0.0017,0.0128,0.0102,0.3079,0.0369,0.3691,0.0185,0.0697,0.0484,8.1278,0.4295,8.189,0.4378,-0.0646,0.0357,-0.3028,0.0438,11.5077,0.4304
3,0.55,200,139.6789,0.5949,NA,NA,170.1205,0.609,0.3333,0,167.6552,0.6523,0.3333,0,171.0371,0.6543,0.3333,0,179.0254,0.8758,0.3333,0,170.9621,0.6542,0.3356,0,171.6001,0.6493,0.2076,0.0019,179.6273,0.875,0.2332,0.0022,171.4125,0.6395,0.1612,0.0017,0.5577,8e-04,0.5517,0.0011,0.5701,7e-04,0.7473,0.0095,0.5919,0.0044,0.8405,0.0055,0.3956,0.0034,0.0128,0.0102,0.563,0.0433,0.6018,0.025,0.4503,0.0566,7.9884,0.4159,8.0272,0.4157,-0.075,0.0391,-0.1876,0.044,11.9721,0.4108
3,0.85,200,147.0691,0.6492,NA,NA,181.0054,0.6476,0.3333,0,178.1751,0.6838,0.3333,0,181.8812,0.6943,0.3333,0,189.6381,0.8885,0.3333,0,181.8028,0.6922,0.3356,0,182.9532,0.6858,0.1234,0.0016,190.7144,0.8801,0.1907,0.0029,182.8454,0.6777,0.1202,0.001,0.5932,6e-04,0.5756,0.0014,0.5891,4e-04,0.7473,0.0095,0.7583,0.0036,0.8798,0.0036,0.269,0.0052,0.0128,0.0102,1.072,0.0556,1.0762,0.0333,1.0426,0.0624,7.7569,0.4003,7.7612,0.3905,-0.0784,0.0381,-0.1078,0.0385,12.5393,0.3835
4,0.05,200,167.4376,0.6852,NA,NA,192.2238,0.7264,0.25,0,190.94,0.7735,0.25,0,193.5931,0.7917,0.25,0,203.6241,1.0723,0.25,0,193.2777,0.7885,0.2443,0,193.3492,0.7896,0.1754,0.0016,203.6269,1.0724,0.2418,6e-04,193.0991,0.7839,0.1436,0.0016,0.5457,8e-04,0.5067,3e-04,0.5535,8e-04,0.8162,0.0072,0.658,0.0037,0.829,0.0065,0.4634,0.0032,0.0128,0.0102,-0.2439,0.0494,0.0028,0.012,-0.1786,0.0525,10.031,0.4939,10.2777,0.4995,-0.3154,0.0411,-0.2501,0.0455,12.687,0.5209
4,0.15,200,173.9726,0.7185,NA,NA,201.0541,0.7475,0.25,0,199.4447,0.7911,0.25,0,202.2874,0.8127,0.25,0,212.3174,1.0724,0.25,0,201.9815,0.8078,0.2443,0,202.1242,0.806,0.1444,0.0016,212.3547,1.0729,0.223,0.001,201.9003,0.799,0.1196,0.0014,0.5651,8e-04,0.5191,7e-04,0.5694,7e-04,0.8162,0.0072,0.7189,0.0037,0.8438,0.0057,0.4062,0.005,0.0128,0.0102,-0.1632,0.0509,0.0374,0.0159,-0.0812,0.06,10.03,0.4833,10.2305,0.4929,-0.3059,0.0398,-0.2238,0.0479,12.9101,0.5078
4,0.3,200,183.1166,0.7732,NA,NA,213.4368,0.7858,0.25,0,211.3793,0.8213,0.25,0,214.5366,0.8504,0.25,0,224.4282,1.0803,0.25,0,214.1847,0.8418,0.2443,0,214.6101,0.8436,0.0961,0.0016,224.6215,1.0799,0.1958,0.0017,214.4246,0.8348,0.0913,0.0012,0.5936,9e-04,0.5383,0.0012,0.5906,7e-04,0.8162,0.0072,0.8132,0.0035,0.8658,0.0046,0.2709,0.0078,0.0128,0.0102,0.0735,0.0639,0.1934,0.0223,0.2399,0.0678,9.8915,0.4706,10.0114,0.4724,-0.352,0.0448,-0.1855,0.0383,13.2422,0.4862
4,0.55,200,196.6728,0.8728,NA,NA,231.8093,0.8635,0.25,0,229.1742,0.8903,0.25,0,232.7579,0.924,0.25,0,242.2745,1.1124,0.25,0,232.3843,0.9203,0.2443,0,233.6083,0.9086,0.0327,0.0011,242.8905,1.1079,0.1537,0.0025,233.3621,0.9092,0.071,7e-04,0.6358,8e-04,0.5705,0.0019,0.6174,7e-04,0.8162,0.0072,0.9373,0.0021,0.9017,0.0029,0.0961,0.0073,0.0128,0.0102,0.8504,0.0683,0.616,0.0343,0.9778,0.0714,9.5165,0.4429,9.2822,0.4411,-0.3736,0.0455,-0.2462,0.036,13.7164,0.448
4,0.85,200,210.4562,0.9973,NA,NA,250.4567,0.9705,0.25,0,247.3817,0.9867,0.25,0,251.3403,1.0296,0.25,0,260.2865,1.1764,0.25,0,250.9019,1.0237,0.2443,0,253.3649,1.0134,0.0131,7e-04,261.5696,1.1645,0.1193,0.0028,252.9535,1.0068,0.0654,4e-04,0.6654,6e-04,0.6018,0.0023,0.6416,6e-04,0.8162,0.0072,0.7502,0.0287,0.9245,0.0022,0.031,0.0046,0.0128,0.0102,2.0246,0.0776,1.2831,0.0473,2.0516,0.0759,8.9462,0.4105,8.2047,0.4003,-0.4384,0.0483,-0.4114,0.0309,14.1879,0.3983
5,0.05,200,210.7075,0.8633,NA,NA,236.5078,0.8983,0.2,0,235.3812,0.9339,0.2,0,238.097,0.9801,0.2,0,249.6634,1.2601,0.2,0,238.0613,0.9787,0.2,0,237.9155,0.9816,0.0986,0.0016,249.6658,1.2589,0.1921,6e-04,237.8301,0.9744,0.0952,0.0015,0.5773,0.001,0.5081,4e-04,0.5779,0.001,0.8551,0.0057,0.8109,0.0033,0.8654,0.005,0.4087,0.007,0.0128,0.0102,-0.1814,0.0669,0.0024,0.0142,-0.2312,0.0731,11.5664,0.5216,11.7503,0.5191,-0.0356,0.0454,-0.0854,0.0492,14.2846,0.5778
5,0.15,200,221.5377,0.9212,NA,NA,250.3933,0.94,0.2,0,248.8042,0.971,0.2,0,251.6547,1.0186,0.2,0,263.259,1.2688,0.2,0,251.6055,1.0126,0.2,0,251.603,1.0136,0.0687,0.0015,263.3398,1.2681,0.1747,0.001,251.6402,1.0092,0.0771,0.0012,0.6053,0.0011,0.5229,8e-04,0.6002,9e-04,0.8551,0.0057,0.869,0.0029,0.8782,0.0043,0.3046,0.0088,0.0128,0.0102,-0.0518,0.0771,0.0808,0.02,0.0347,0.0731,11.6043,0.5116,11.7368,0.5115,-0.0492,0.0471,0.0373,0.0413,14.5356,0.5566
5,0.3,200,236.5167,1.02,NA,NA,269.6256,1.0178,0.2,0,267.467,1.0398,0.2,0,270.5822,1.0914,0.2,0,281.9401,1.3015,0.2,0,270.5311,1.0836,0.2,0,270.968,1.08,0.0298,0.0011,282.1802,1.2985,0.1477,0.0017,270.9097,1.0728,0.0605,9e-04,0.6446,9e-04,0.547,0.0015,0.6302,8e-04,0.8551,0.0057,0.9241,0.0095,0.8988,0.0032,0.143,0.0092,0.0128,0.0102,0.3858,0.0827,0.2401,0.0299,0.3786,0.0802,11.3578,0.4892,11.2122,0.4912,-0.0512,0.0477,-0.0583,0.0446,14.7132,0.5204
5,0.55,200,258.1815,1.2031,NA,NA,297.4163,1.1768,0.2,0,294.5734,1.1855,0.2,0,298.0097,1.2409,0.2,0,308.7811,1.3992,0.2,0,297.9628,1.2324,0.2,0,299.6309,1.2248,0.0064,6e-04,309.5002,1.3888,0.1105,0.0024,299.5157,1.2204,0.053,5e-04,0.6898,7e-04,0.586,0.0025,0.6681,7e-04,0.8551,0.0057,0.4585,0.0345,0.9276,0.0021,0.0449,0.0063,0.0128,0.0102,1.6212,0.095,0.7191,0.045,1.5529,0.0906,10.7714,0.4578,9.8693,0.4457,-0.0469,0.0547,-0.1153,0.0366,14.9269,0.4596
5,0.85,200,279.3776,1.4299,NA,NA,324.4986,1.3889,0.2,0,321.2249,1.385,0.2,0,324.9841,1.452,0.2,0,334.8028,1.5615,0.2,0,324.8533,1.4423,0.2,0,328.2807,1.4238,0.0015,3e-04,336.4587,1.5436,0.0853,0.0025,327.9415,1.4244,0.0505,2e-04,0.7174,5e-04,0.6202,0.0031,0.6944,5e-04,0.8551,0.0057,0.1323,0.0237,0.9423,0.0017,0.0079,0.003,0.0128,0.0102,3.2966,0.1047,1.6559,0.0698,3.0882,0.0942,9.8187,0.4137,8.178,0.3806,-0.1309,0.0545,-0.3392,0.0209,15.2338,0.3859
