"b","tau_k","k_shape","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.3,0.3,2,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,104.5632,0.5411,0.5,0,98.1275,0.3841,0.5025,0,98.2659,0.3831,0.478,8e-04,104.7201,0.5427,0.4857,6e-04,98.2481,0.3832,0.5062,0.0011,0.5023,3e-04,0.4997,2e-04,0.4954,4e-04,0.7971,0.0064,0.2945,0.0042,0.8003,0.0063,0.2573,0.0032,0.0128,0.0102,0.1172,0.012,0.157,0.0042,0.1206,0.0109,6.4144,0.2625,6.4542,0.2641,-0.0213,0.0232,-0.0178,0.0214,8.3321,0.2563
0.3,0.3,3,200,76.2904,0.2468,NA,NA,88.247,0.2528,0.5,0,86.5502,0.2721,0.5,0,88.7215,0.2621,0.5,0,90.8874,0.3193,0.5,0,88.7435,0.2629,0.5025,0,88.8272,0.2622,0.471,8e-04,91.0003,0.3196,0.4805,6e-04,88.8491,0.2629,0.5058,0.0012,0.5046,3e-04,0.5015,2e-04,0.4956,4e-04,0.5862,0.0087,0.2566,0.0046,0.5972,0.0086,0.2022,0.0023,0.0128,0.0102,0.1057,0.0084,0.1129,0.004,0.1056,0.0057,2.166,0.1034,2.1731,0.1034,0.022,0.0122,0.0219,0.0123,4.45,0.1063
0.3,1,1.5,200,89.6948,0.4351,NA,NA,106.318,0.4805,0.5,0,106.1571,0.5237,0.5,0,107.485,0.5105,0.5,0,118.716,0.7668,0.5,0,107.4249,0.5109,0.5025,0,107.5906,0.5089,0.4809,7e-04,118.9191,0.7706,0.4901,5e-04,107.589,0.5089,0.498,0.0013,0.5013,2e-04,0.4983,2e-04,0.4982,4e-04,0.8691,0.0057,0.3636,0.0063,0.8711,0.0056,0.3428,0.0053,0.0128,0.0102,0.1056,0.0206,0.2031,0.0064,0.1641,0.0168,11.2309,0.4344,11.3284,0.439,-0.0602,0.0303,-0.0017,0.0294,12.7619,0.4335
0.3,1,2,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,103.4386,0.5558,0.5,0,98.1275,0.3841,0.5025,0,98.2659,0.3831,0.478,8e-04,103.585,0.5575,0.4843,6e-04,98.2481,0.3832,0.5062,0.0011,0.5023,3e-04,0.5002,2e-04,0.4954,4e-04,0.7347,0.0104,0.2945,0.0042,0.7424,0.0103,0.2573,0.0032,0.0128,0.0102,0.1172,0.012,0.1464,0.0062,0.1206,0.0109,5.2899,0.2829,5.3191,0.2847,-0.0213,0.0232,-0.0178,0.0214,7.197,0.2759
0.3,1,3,200,76.2904,0.2468,NA,NA,88.247,0.2528,0.5,0,86.5502,0.2721,0.5,0,88.7215,0.2621,0.5,0,89.9296,0.3097,0.5,0,88.7435,0.2629,0.5025,0,88.8272,0.2622,0.471,8e-04,90.0392,0.3094,0.482,6e-04,88.8491,0.2629,0.5058,0.0012,0.5046,3e-04,0.501,2e-04,0.4956,4e-04,0.4361,0.0087,0.2566,0.0046,0.4423,0.0091,0.2022,0.0023,0.0128,0.0102,0.1057,0.0084,0.1096,0.0057,0.1056,0.0057,1.2081,0.0945,1.2121,0.094,0.022,0.0122,0.0219,0.0123,3.489,0.0992
0.3,3,1.5,200,89.6948,0.4351,NA,NA,106.318,0.4805,0.5,0,106.1571,0.5237,0.5,0,107.485,0.5105,0.5,0,116.1914,0.8205,0.5,0,107.4249,0.5109,0.5025,0,107.5906,0.5089,0.4809,7e-04,116.3786,0.8255,0.4897,5e-04,107.589,0.5089,0.498,0.0013,0.5013,2e-04,0.4984,2e-04,0.4982,4e-04,0.7997,0.0117,0.3636,0.0063,0.8092,0.0113,0.3428,0.0053,0.0128,0.0102,0.1056,0.0206,0.1872,0.0119,0.1641,0.0168,8.7064,0.5011,8.7879,0.5069,-0.0602,0.0303,-0.0017,0.0294,10.2214,0.5004
0.3,3,2,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,100.9169,0.5415,0.5,0,98.1275,0.3841,0.5025,0,98.2659,0.3831,0.478,8e-04,101.0539,0.5424,0.4839,6e-04,98.2481,0.3832,0.5062,0.0011,0.5023,3e-04,0.5003,2e-04,0.4954,4e-04,0.5492,0.0129,0.2945,0.0042,0.5632,0.0133,0.2573,0.0032,0.0128,0.0102,0.1172,0.012,0.137,0.0108,0.1206,0.0109,2.7681,0.2767,2.788,0.2775,-0.0213,0.0232,-0.0178,0.0214,4.6658,0.2742
0.3,3,3,200,76.2904,0.2468,NA,NA,88.247,0.2528,0.5,0,86.5502,0.2721,0.5,0,88.7215,0.2621,0.5,0,88.993,0.2781,0.5,0,88.7435,0.2629,0.5025,0,88.8272,0.2622,0.471,8e-04,89.087,0.2784,0.4806,7e-04,88.8491,0.2629,0.5058,0.0012,0.5046,3e-04,0.5014,2e-04,0.4956,4e-04,0.31,0.0045,0.2566,0.0046,0.3017,0.0048,0.2022,0.0023,0.0128,0.0102,0.1057,0.0084,0.094,0.0078,0.1056,0.0057,0.2716,0.0536,0.2598,0.0542,0.022,0.0122,0.0219,0.0123,2.5368,0.0741
1,0.3,1.5,200,89.6948,0.4351,NA,NA,132.899,0.6468,0.5,0,130.6386,0.8576,0.5,0,135.5184,0.7425,0.5,0,155.525,1.4904,0.5,0,134.899,0.7323,0.4975,0,135.4634,0.7385,0.492,7e-04,155.5263,1.4897,0.4911,5e-04,134.8076,0.7323,0.5092,0.0016,0.5027,2e-04,0.503,2e-04,0.4944,5e-04,0.7255,0.009,0.1762,0.0055,0.7291,0.0088,0.2364,0.0051,0.0128,0.0102,-0.055,0.0543,0.0013,0.0071,-0.0914,0.0578,20.0066,0.9754,20.0629,0.9863,-0.6194,0.1199,-0.6558,0.1195,24.8877,0.9303
1,0.3,2,200,83.1424,0.3399,NA,NA,119.0596,0.4832,0.5,0,113.871,0.6156,0.5,0,120.271,0.5212,0.5,0,128.4503,0.8398,0.5,0,119.8882,0.5201,0.4975,0,120.3192,0.5205,0.4893,6e-04,128.4515,0.8403,0.4888,5e-04,119.836,0.5094,0.5279,0.0011,0.5036,2e-04,0.5038,2e-04,0.4882,4e-04,0.5333,0.0107,0.1296,0.0036,0.5413,0.0105,0.1671,0.0029,0.0128,0.0102,0.0481,0.0318,0.0012,0.0067,-0.0523,0.0397,8.1792,0.4395,8.1323,0.4432,-0.3828,0.06,-0.4832,0.0647,14.5805,0.4116
1,0.3,3,200,76.2904,0.2468,NA,NA,105.3254,0.3113,0.5,0,98.3486,0.371,0.5,0,105.8952,0.3246,0.5,0,108.2179,0.3997,0.5,0,105.5906,0.3243,0.4975,0,105.9097,0.3227,0.4834,8e-04,108.2143,0.3994,0.4918,4e-04,105.6364,0.3193,0.5372,8e-04,0.5055,3e-04,0.5027,1e-04,0.4852,3e-04,0.2824,0.0063,0.0985,0.0034,0.2883,0.0066,0.1391,0.0011,0.0128,0.0102,0.0144,0.0162,-0.0035,0.0056,0.0458,0.0233,2.3226,0.1227,2.3046,0.1258,-0.3047,0.0306,-0.2733,0.0322,9.8657,0.1526
1,1,1.5,200,89.6948,0.4351,NA,NA,132.899,0.6468,0.5,0,130.6386,0.8576,0.5,0,135.5184,0.7425,0.5,0,153.7837,1.516,0.5,0,134.899,0.7323,0.4975,0,135.4634,0.7385,0.492,7e-04,153.7722,1.5184,0.4904,4e-04,134.8076,0.7323,0.5092,0.0016,0.5027,2e-04,0.5032,1e-04,0.4944,5e-04,0.681,0.0123,0.1762,0.0055,0.6894,0.012,0.2364,0.0051,0.0128,0.0102,-0.055,0.0543,-0.0114,0.0146,-0.0914,0.0578,18.2653,1.0038,18.3088,1.018,-0.6194,0.1199,-0.6558,0.1195,23.1336,0.9606
1,1,2,200,83.1424,0.3399,NA,NA,119.0596,0.4832,0.5,0,113.871,0.6156,0.5,0,120.271,0.5212,0.5,0,126.9276,0.8222,0.5,0,119.8882,0.5201,0.4975,0,120.3192,0.5205,0.4893,6e-04,126.9223,0.8223,0.4905,5e-04,119.836,0.5094,0.5279,0.0011,0.5036,2e-04,0.5032,2e-04,0.4882,4e-04,0.43,0.0118,0.1296,0.0036,0.4413,0.0121,0.1671,0.0029,0.0128,0.0102,0.0481,0.0318,-0.0053,0.0117,-0.0523,0.0397,6.6566,0.4279,6.6031,0.4323,-0.3828,0.06,-0.4832,0.0647,13.0512,0.4029
1,1,3,200,76.2904,0.2468,NA,NA,105.3254,0.3113,0.5,0,98.3486,0.371,0.5,0,105.8952,0.3246,0.5,0,107.3119,0.3856,0.5,0,105.5906,0.3243,0.4975,0,105.9097,0.3227,0.4834,8e-04,107.3045,0.3865,0.4931,4e-04,105.6364,0.3193,0.5372,8e-04,0.5055,3e-04,0.5023,1e-04,0.4852,3e-04,0.1985,0.0057,0.0985,0.0034,0.2017,0.006,0.1391,0.0011,0.0128,0.0102,0.0144,0.0162,-0.0074,0.009,0.0458,0.0233,1.4166,0.1155,1.3948,0.1199,-0.3047,0.0306,-0.2733,0.0322,8.9558,0.1508
1,3,1.5,200,89.6948,0.4351,NA,NA,132.899,0.6468,0.5,0,130.6386,0.8576,0.5,0,135.5184,0.7425,0.5,0,149.3083,1.504,0.5,0,134.899,0.7323,0.4975,0,135.4634,0.7385,0.492,7e-04,149.3214,1.5036,0.4892,5e-04,134.8076,0.7323,0.5092,0.0016,0.5027,2e-04,0.5036,2e-04,0.4944,5e-04,0.5501,0.0157,0.1762,0.0055,0.5691,0.0158,0.2364,0.0051,0.0128,0.0102,-0.055,0.0543,0.0131,0.0226,-0.0914,0.0578,13.7899,1.0166,13.858,1.0267,-0.6194,0.1199,-0.6558,0.1195,18.6828,0.9706
1,3,2,200,83.1424,0.3399,NA,NA,119.0596,0.4832,0.5,0,113.871,0.6156,0.5,0,120.271,0.5212,0.5,0,123.9903,0.7598,0.5,0,119.8882,0.5201,0.4975,0,120.3192,0.5205,0.4893,6e-04,123.979,0.7588,0.4914,5e-04,119.836,0.5094,0.5279,0.0011,0.5036,2e-04,0.5029,2e-04,0.4882,4e-04,0.2868,0.011,0.1296,0.0036,0.2939,0.0115,0.1671,0.0029,0.0128,0.0102,0.0481,0.0318,-0.0113,0.0178,-0.0523,0.0397,3.7193,0.3894,3.6598,0.3921,-0.3828,0.06,-0.4832,0.0647,10.108,0.3808
1,3,3,200,76.2904,0.2468,NA,NA,105.3254,0.3113,0.5,0,98.3486,0.371,0.5,0,105.8952,0.3246,0.5,0,106.3018,0.3458,0.5,0,105.5906,0.3243,0.4975,0,105.9097,0.3227,0.4834,8e-04,106.3126,0.3456,0.4897,5e-04,105.6364,0.3193,0.5372,8e-04,0.5055,3e-04,0.5034,2e-04,0.4852,3e-04,0.1411,0.0037,0.0985,0.0034,0.1279,0.0038,0.1391,0.0011,0.0128,0.0102,0.0144,0.0162,0.0107,0.0126,0.0458,0.0233,0.4066,0.0771,0.4029,0.0784,-0.3047,0.0306,-0.2733,0.0322,7.9639,0.1391
