"s","tail","tau_k","out_S8","signal_fwd","vs_unif","gini_g1","out_S1","out_S8_se","signal_fwd_se"
1,"heavy",0.3,138.261671095448,11.8162562438565,14.2553894694542,0.728734382779836,94.6410124938595,0.782988962384592,0.295443221773585
0.7,"heavy",0.3,147.3111708967,7.02225329150699,11.7136557015715,0.690165650376894,104.104507099049,1.24108455710492,0.320082090811974
0.4,"heavy",0.3,157.951851522055,3.71339387153151,10.5789775209275,0.640598562438903,113.868358432004,1.71421201330621,0.262704236885152
1,"moderate",0.3,111.522559601142,4.46565962017911,5.69370982446662,0.590473419907375,83.5831188174205,0.491368574595529,0.127612762717475
0.7,"moderate",0.3,113.990260078344,2.85173071736356,4.31688755014541,0.523690195786679,86.9487827531577,0.623053179478801,0.108670494828884
0.4,"moderate",0.3,116.381152157644,1.39934590682626,3.07147524353476,0.438991697000607,90.1825632815176,0.760641158317694,0.0742136610101186
1,"heavy",1,136.936895346034,10.4914804944425,12.9306137200402,0.733754835177919,94.6410124938595,0.807120197204483,0.321493891833065
0.7,"heavy",1,146.413987306482,6.1250697012884,10.8164721113529,0.670782471704199,104.104507099049,1.25649314226487,0.318209686172044
0.4,"heavy",1,157.014671167372,2.77621351684823,9.64179716624426,0.609075943107305,113.868358432004,1.70951969237354,0.221223073597172
1,"moderate",1,109.581061965901,2.5241619849388,3.75221218922631,0.493531137777266,83.5831188174205,0.49377665635037,0.117921811322705
0.7,"moderate",1,112.396519806196,1.25799044521517,2.72314727799702,0.415644946980346,86.9487827531577,0.61917704542993,0.0855671980159025
0.4,"moderate",1,115.402816561917,0.421010311098777,2.09313964780728,0.344779071231964,90.1825632815176,0.756743303707555,0.043975819068862
