"sdlog","k_shape","tau_k","corr","corr_se"
0.25,1.3,0.3,0.975554737968692,0.0039350242190373
0.5,1.3,0.3,0.978750771558991,0.00358087864936162
0.25,2,0.3,0.951438021582827,0.00591594134320174
0.5,2,0.3,0.958541114867497,0.00529067106918422
0.25,1.3,1,0.958869935234363,0.00794079353438649
0.5,1.3,1,0.960623650091068,0.00759494541429706
0.25,2,1,0.868508096159195,0.0180317174597427
0.5,2,1,0.887814723403836,0.0150760618435449
